id,genre,track_name,artist_name,danceability,valence,energy,tempo
2ds9vlk6o6BRCc2FAkmOvX,acoustic,Beat It,Fall Out Boy,0.557,0.841,0.936,149.954
1s2I9Q7zAE78m7aVZOq3ug,acoustic,Bang Bang - My Baby Shot Me Down,Various Artists,0.458,0.372,0.12,125.035
2bw7QmVHt0BqgE71kFmNmm,acoustic,The Years,Jack and the Weatherman,0.773,0.764,0.404,99.605
70zapGEw5KQiHBhjNcGjzo,acoustic,Little Hell,City and Colour,0.304,0.186,0.415,50.593
5yzwVf8LUGkddE7wgPIy4v,acoustic,Feel so High,Various Artists,0.59,0.546,0.549,80.433
0aIXPVVZArfwTOrPYSOaa5,acoustic,Mr Bojangles,Robbie Williams,0.512,0.27,0.325,137.118
1KqlVt63Q4bl1VdSlymr5C,acoustic,Riptide,Vance Joy,0.484,0.51,0.731,101.654
2ZQyksYO4zzhyHNcueL0CP,acoustic,Home,Phillip Phillips,0.592,0.293,0.792,121.001
1KHGSJPHiHkG2FEGFy8fLc,acoustic,Pompeii,Jasmine Thompson,0.481,0.428,0.229,127.951
7BzhqmRj3iOZXqMHqiifHr,acoustic,Heartbeats,Various Artists,0.552,0.316,0.15,87.485
2I2kwyKgiiig05zX4PCSlx,acoustic,Billie Jean - Live,The Civil Wars,0.535,0.442,0.174,92.997
4RnCPWlBsY7oUDdyruod7Y,acoustic,Drunk,Ed Sheeran,0.733,0.459,0.652,99.998
7sCS0drQA6rtVgOC8QIFxf,acoustic,The Kill - Live,Thirty Seconds To Mars,0.466,0.214,0.307,129.171
0GNI8K3VATWBABQFAzBAYe,acoustic,Stay,Rihanna,0.621,0.125,0.31,111.893
08kTO4EW0jb07zNsCNM83w,acoustic,Chariot,Gavin DeGraw,0.281,0.344,0.779,167.172
7z7fquRFQFXt4Dj7ouWETq,acoustic,Hey There Delilah,Plain White T's,0.661,0.304,0.373,103.999
6jQlAObMMtULuYctlVjCLg,acoustic,No Aphrodisiac - Original,The Whitlams,0.455,0.636,0.607,74.52
78xbGcjmm02TCbhsMJsuUn,acoustic,In the Morning,Keaton Henson,0.455,0.227,0.17,73.014
7bcHBD27hxkK5aSXjWOysM,acoustic,When I Held Ya,Moa Lignell,0.425,0.418,0.645,153.939
4otHnPszGCLCH6zB5yq5lw,acoustic,Calgary,Bon Iver,0.505,0.0768,0.46,119.959
22gLGCKbFKwmgZhrpVcnFb,acoustic,Fields Of Gold,Sting,0.653,0.291,0.344,104.009
1PUh1GENlvlgu0dW28I6tY,acoustic,"Hello, I'm In Delaware",City and Colour,0.261,0.388,0.458,198.695
6TKhMnW63mUIgu3MW9P580,acoustic,Diamonds,Ben Howard,0.623,0.235,0.675,119.946
0O36Yqb2aFcThBphczYoAY,acoustic,A Drop In The Ocean,Ron Pope,0.437,0.473,0.452,69.81
46XMysg4VurmyAQ28tshqz,acoustic,The Mess I Made,Parachute,0.405,0.173,0.591,165.377
6m0qBDIhzICOwWMPZdgyVK,acoustic,Crazy in Love,Daniela Andrade,0.606,0.489,0.326,78.906
3KZG39hHZiQrxFGLUaeWPb,acoustic,Distant Sun,Various Artists,0.561,0.331,0.611,103.008
1sg4BYQxmQaVBoeePKdvbg,acoustic,Someone Like You (cover),Matt Beilis,0.413,0.169,0.343,134.214
6OaCwySGYg30ncfsjKNbtM,acoustic,Dumb,Nirvana,0.691,0.681,0.539,109.432
4o0NjemqhmsYLIMwlcosvW,acoustic,The Funeral,Band of Horses,0.316,0.127,0.769,122.507
1siB1tZUrkVyC0HiGHzeCn,acoustic,Say Yes,Elliott Smith,0.499,0.418,0.0875,153.439
6vrUTGn5p8IrfTZ0J6sIVM,acoustic,Iris,The Goo Goo Dolls,0.291,0.513,0.79,155.667
33DxDFhE06bRC5tdHkIxhj,acoustic,Gårdakvarnar och skit,Håkan Hellström,0.276,0.547,0.59,153.146
5eu01accYawhzzeZRAcwY6,acoustic,You're Beautiful (Clean Version),Chester See,0.233,0.213,0.321,166.09
6jdNp4oX1y3iwXibaXxWph,acoustic,Counting Stars / The Monster (feat. Carly Rose Sonenclar),Boyce Avenue,0.73,0.44,0.44,114.812
7AUwhTIuxBn7Os76FPoIz7,acoustic,Polly,Nirvana,0.615,0.429,0.388,115.048
2V2pxcEfn5zs79sE7qcewA,acoustic,Now And Forever,Richard Marx,0.441,0.172,0.258,77.988
574GJ55EBM79W6n2V5bL5z,acoustic,Slow It Down,The Lumineers,0.428,0.108,0.064,142.436
48gsLPdOUEDjr7P8Wvykne,acoustic,Budapest,George Ezra,0.706,0.424,0.247,127.812
7LR87BxVS5GawUHQFJdko5,acoustic,Don't Stop The Music,Jamie Cullum,0.572,0.432,0.456,103.13
1KEMFdqpHnQODPxV6Il3rV,acoustic,Drifting,Andy McKee,0.503,0.745,0.568,127.073
1Er5JMNcguoBMFXxwZ7BWH,acoustic,White Winter Hymnal,Fleet Foxes,0.629,0.649,0.534,124.964
2tKKxF5LTNcSlVtrLSlaMD,acoustic,The General,DISPATCH,0.599,0.66,0.673,93.246
