id,genre,track_name,artist_name,danceability,valence,energy,tempo,loudness,speechiness,instrumentalness
6wN5nWLgjEGmPwozDh2jwM,acoustic,Kiss Me,Jason Walker,0.429,0.33,0.184,77.567,-9.731,0.0299,0
5z1vCywwTJAP8qSkGJymFY,acoustic,Creep - Live,Korn,0.484,0.236,0.534,104.023,-8.156,0.151,0
1ZmbLKxfrWh2ejFjiZxZPW,acoustic,Better Off - Live From Spotify London,HAIM,0.51,0.419,0.702,119.296,-10.475,0.0296,0.0038
7noCkklUhEAoj8GJkbAuHq,acoustic,All of Me,Boyce Avenue,0.606,0.308,0.209,125.969,-10.273,0.0418,0
6wDKGtbPpF9xPMRv7bswQN,acoustic,Dead Sea,The Lumineers,0.713,0.472,0.319,94.043,-11.077,0.0289,7.94e-05
7nnWIPM5hwE3DaUBkvOIpy,acoustic,Drive,Incubus,0.645,0.666,0.792,90.565,-6.862,0.19,0
2izoqbHZCGaoFOO8vcc1hK,acoustic,Boyfriend,Alex G,0.781,0.741,0.737,93.077,-12.636,0.0638,3.67e-05
0GNI8K3VATWBABQFAzBAYe,acoustic,Stay,Rihanna,0.621,0.125,0.31,111.893,-9.903,0.0308,2.51e-05
0VxFKXvKLjYWU7oPPMwzuN,acoustic,Somewhere Only We Know,Keane,0.457,0.389,0.646,172.257,-10.132,0.0379,0.0109
11ETYjIGagOXU1PtCmF3T2,acoustic,Stuck In The Moment,Justin Bieber,0.718,0.452,0.709,90.026,-11.566,0.218,0.000162
5MYfpFJYm8WNFGssR6H2Oz,acoustic,No One's Gonna Love You - Live from Spotify Sweden,Band of Horses,0.547,0.192,0.188,135.657,-13.924,0.0434,0
7dwpf0RyAUlMuGvoEcN0Ly,acoustic,Things That Stop You Dreaming,Passenger,0.378,0.185,0.511,88.937,-10.92,0.0382,0.00165
4cNjkFy1U24mrlbdHcc2Vq,acoustic,Waterfalls,ortoPilot,0.847,0.837,0.532,100.003,-11.023,0.0936,0
6qTmjG7thRJEOaUKFmfjGR,acoustic,The Last Day on Earth,Kate Miller-Heidke,0.61,0.168,0.44,79.002,-9.289,0.0442,0.237
2TdzUeMGoQNKZlQcqWqhtK,acoustic,Blue Liquid,Andy McKee,0.54,0.768,0.469,90.469,-8.158,0.0279,0
4vojpVoYaj4myAkIcfNKIN,acoustic,U Smile,Justin Bieber,0.705,0.419,0.605,112.506,-15.385,0.0363,0.000648
6vrUTGn5p8IrfTZ0J6sIVM,acoustic,Iris,The Goo Goo Dolls,0.291,0.513,0.79,155.667,-16.391,0.0413,0.296
1LiteNBpuy5ltDtESG1rmr,acoustic,Feel the Same,Joshua James,0.346,0.261,0.562,141.354,-9.39,0.0433,0
4FLvG5dzvorjI9USGay9wB,acoustic,Euphoria,Tyler Ward,0.606,0.272,0.624,137.898,-6.864,0.027,0
6GrrkiCRO3HYdgRpO4eKEL,acoustic,Swing Life Away,Rise Against,0.477,0.789,0.426,184.866,-6.162,0.0566,0.000405
0MTHQlWgo6iCNjXgM5Z9fr,acoustic,I Gave You All,Mumford & Sons,0.379,0.0557,0.296,115.777,-8.965,0.0352,2.98e-05
1uXHWnZ85lhAf19DRzU3Oz,acoustic,Walking Aimlessly,Anna Ternheim,0.541,0.344,0.302,101.016,-7.08,0.0752,0
70OYqWcYDDm2SJIRFmz3wo,acoustic,Längesen,Petter,0.436,0.458,0.46,94.443,-9.301,0.06,0
39f53y1dfP5hT6LQMDDvpp,acoustic,Purple Rain,Various Artists,0.402,0.236,0.309,72.97,-10.726,0.158,2.4e-05
2kdwtu4L3Fq7vQMvdVgDZs,acoustic,The Gardener,The Tallest Man On Earth,0.487,0.418,0.531,95.338,-13.797,0.031,0.097
4dHEQ1W1jRmNjjB0S7vB8V,acoustic,re:stacks,Bon Iver,0.678,0.304,0.0813,125.066,-13.245,0.0618,0
5NTA3dsB2DlLaSG1KM6RTh,acoustic,The River,Bruce Springsteen,0.589,0.594,0.554,117.472,-8.522,0.0325,3.58e-06
